2019-03-16 12:36:40.924  WARN 8596 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.future.teamwork.utils.redis, com.future.teamwork]' package. Please check your configuration.
2019-03-16 12:36:56.601  WARN 8596 --- [restartedMain] aWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-03-16 12:37:01.342 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:01.343 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:37:04.586 ERROR 8596 --- [http-nio-8081-exec-6] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:04.601 ERROR 8596 --- [http-nio-8081-exec-6] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:37:07.993 ERROR 8596 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:07.993 ERROR 8596 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:37:08.480 ERROR 8596 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:08.481 ERROR 8596 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:37:31.976 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:31.976 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:37:32.632 ERROR 8596 --- [http-nio-8081-exec-2] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:37:32.635 ERROR 8596 --- [http-nio-8081-exec-2] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:39:49.985 ERROR 8596 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:39:49.986 ERROR 8596 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:39:52.826 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:39:52.827 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:39:58.087 ERROR 8596 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:39:58.087 ERROR 8596 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 12:40:00.420 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 12:40:00.421 ERROR 8596 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:15:48.866  WARN 10928 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.future.teamwork.utils.redis, com.future.teamwork]' package. Please check your configuration.
2019-03-16 16:16:02.414  WARN 10928 --- [restartedMain] aWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-03-16 16:16:24.743 ERROR 10928 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:24.744 ERROR 10928 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:16:27.086 ERROR 10928 --- [http-nio-8081-exec-8] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:27.087 ERROR 10928 --- [http-nio-8081-exec-8] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:16:32.413 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:32.415 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:16:32.997 ERROR 10928 --- [http-nio-8081-exec-8] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:32.998 ERROR 10928 --- [http-nio-8081-exec-8] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:16:42.497 ERROR 10928 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:42.497 ERROR 10928 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:16:43.160 ERROR 10928 --- [http-nio-8081-exec-5] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:16:43.164 ERROR 10928 --- [http-nio-8081-exec-5] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:01.266 ERROR 10928 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:01.268 ERROR 10928 --- [http-nio-8081-exec-3] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:01.759 ERROR 10928 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:01.759 ERROR 10928 --- [http-nio-8081-exec-1] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:41.604 ERROR 10928 --- [http-nio-8081-exec-5] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:41.605 ERROR 10928 --- [http-nio-8081-exec-5] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:42.222 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:42.223 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:57.614 ERROR 10928 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:57.614 ERROR 10928 --- [http-nio-8081-exec-9] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:17:58.135 ERROR 10928 --- [http-nio-8081-exec-4] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:17:58.136 ERROR 10928 --- [http-nio-8081-exec-4] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:18:36.331 ERROR 10928 --- [http-nio-8081-exec-6] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:18:36.332 ERROR 10928 --- [http-nio-8081-exec-6] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
2019-03-16 16:18:36.756 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : ==后置通知异常==
2019-03-16 16:18:36.757 ERROR 10928 --- [http-nio-8081-exec-10] com.future.teamwork.aop.SystemLogAspect  : 异常信息:null
